Sistematic name,Gene name,RA (mol/cell) [Nagalakshmi et al. 2008; Miura et al. 2008],RS (min) [Wang et al. 2002],TR indirect (mol/min) w/o dilution correction,TR (mol/min) w/o dilution correction,TR indirect (mol/min) dilution corrected,TR (mol/min) dilution corrected,RNA pol II density (per kb),RNA pol II  presence (per gene)
YOL036W,,,28,,0.3057,,0.3586,0.2391,0.5463
YOL037C,,,60,,0.1524,,0.1788,0.1192,0.0421
YOL038C-A,,0.7045,,,,,,,
YOL038W,PRE6,7.7173,13,0.4115,0.3481,0.4588,0.4083,0.2722,0.2080
YOL039W,RPP2A,12.6487,19,0.4614,0.2780,0.5390,0.3262,0.2175,0.0696
YOL040C,RPS15,56.4549,23,1.7014,,2.0477,,,
YOL041C,NOP12,2.1135,12,0.1221,0.0123,0.1350,0.0144,0.0096,0.0132
YOL042W,NGL1,0.8966,,,0.0991,,0.1162,0.0775,0.0845
YOL043C,NTG2,,22,,0.1533,,0.1799,0.1199,0.1369
YOL044W,PEX15,,22,,0.0984,,0.1155,0.0770,0.0886
YOL045W,PSK2,1.3769,21,0.0454,0.0730,0.0539,0.0856,0.0571,0.1886
YOL046C,,,24,,0.0571,,0.0670,0.0447,0.0301
YOL047C,,0.2562,36,0.0049,,0.0065,,,
YOL048C,,2.0814,43,0.0336,,0.0463,,,
YOL049W,GSH2,5.8600,20,0.2031,0.0964,0.2390,0.1131,0.0754,0.1112
YOL050C,,,30,,0.1188,,0.1394,0.0929,0.0297
YOL051W,GAL11,,18,,0.2352,,0.2759,0.1840,0.5969
YOL052C,SPE2,3.1061,16,0.1346,0.2091,0.1536,0.2453,0.1635,0.1946
YOL052C-A,DDR2,4.0348,,,,,,,
YOL053W,,0.8006,38,0.0146,0.0836,0.0195,0.0981,0.0654,0.0776
YOL054W,,1.0567,9,0.0814,0.1091,0.0879,0.1280,0.0853,0.1041
YOL055C,THI20,0.4163,,,0.0504,,0.0591,0.0394,0.0652
YOL056W,GPM3,1.0887,11,0.0686,0.1058,0.0753,0.1241,0.0828,0.0754
YOL057W,,3.5544,22,0.1120,,0.1338,,,
YOL058W,ARG1,1.8573,14,0.0920,0.0579,0.1033,0.0679,0.0453,0.0571
YOL059W,GPD2,11.6240,15,0.5371,0.8257,0.6084,0.9686,0.6457,0.8537
YOL060C,MAM3,1.7292,16,0.0749,0.0804,0.0855,0.0944,0.0629,0.1334
YOL061W,PRS5,5.2836,18,0.2035,0.1504,0.2359,0.1764,0.1176,0.1753
YOL062C,APM4,2.2095,11,0.1392,0.1546,0.1528,0.1814,0.1209,0.1783
YOL063C,CRT10,1.6651,22,0.0525,0.1058,0.0627,0.1241,0.0827,0.2377
YOL064C,MET22,5.6679,22,0.1786,0.2315,0.2133,0.2716,0.1810,0.1943
YOL065C,INP54,1.6011,24,0.0462,0.0701,0.0561,0.0823,0.0548,0.0633
YOL066C,RIB2,0.6725,14,0.0333,0.1124,0.0374,0.1319,0.0879,0.1561
YOL067C,RTG1,0.3202,,,0.2461,,0.2887,0.1925,0.1026
YOL068C,HST1,,17,,0.2464,,0.2891,0.1927,0.2912
YOL069W,NUF2,,5,,0.0868,,0.1019,0.0679,0.0920
YOL070C,,1.6011,10,0.1110,0.0778,0.1208,0.0913,0.0609,0.0916
YOL071W,EMI5,1.1848,27,0.0304,,0.0377,,,
YOL072W,THP1,2.0174,38,0.0368,0.0844,0.0492,0.0991,0.0660,0.0903
YOL073C,,0.4163,35,0.0082,0.0634,0.0108,0.0744,0.0496,0.0480
YOL075C,,0.4163,31,0.0093,0.0612,0.0119,0.0718,0.0479,0.1860
YOL076W,MDM20,0.8006,14,0.0396,0.0596,0.0445,0.0699,0.0466,0.1114
YOL077C,BRX1,6.0522,7,0.5993,,0.6364,,,
YOL077W-A,ATP19,3.4904,,,,,,,
YOL078W,AVO1,0.3843,24,0.0111,,0.0135,,,
YOL079W,,,26,,0.0742,,0.0871,0.0580,0.0231
YOL080C,REX4,0.6404,13,0.0341,0.0783,0.0381,0.0919,0.0613,0.0532
YOL081W,IRA2,4.6752,43,0.0754,0.0753,0.1040,0.0883,0.0589,0.5439
YOL082W,ATG19,1.7292,29,0.0413,0.1028,0.0519,0.1206,0.0804,0.1002
YOL083C-A,,,,,,,,,
YOL083W,,0.4483,92,0.0034,0.0155,0.0061,0.0182,0.0121,0.0150
YOL084W,PHM7,0.1281,83,0.0011,0.0255,0.0019,0.0299,0.0199,0.0592
YOL085C,,,,,,,,,
YOL085W-A,,,,,,,,,
YOL086C,ADH1,,33,,1.1403,,1.3377,0.8918,0.9328
YOL086W-A,,2.2415,,,,,,,
YOL087C,,1.8253,64,0.0198,0.1096,0.0310,0.1286,0.0857,0.2871
YOL088C,MPD2,1.6972,12,0.0980,0.0692,0.1084,0.0812,0.0541,0.0451
YOL089C,HAL9,1.2168,16,0.0527,0.0634,0.0602,0.0744,0.0496,0.1533
YOL090W,MSH2,1.7932,35,0.0355,0.0765,0.0465,0.0897,0.0598,0.1731
YOL091W,SPO21,0.0640,,,0.0335,,0.0393,0.0262,0.0479
YOL092W,,2.4337,13,0.1298,0.0532,0.1447,0.0624,0.0416,0.0385
YOL093W,TRM10,0.5764,,,0.2080,,0.2440,0.1627,0.1433
YOL094C,RFC4,1.0567,23,0.0318,0.0852,0.0383,0.0999,0.0666,0.0647
YOL095C,HMI1,0.4483,40,0.0078,0.0369,0.0105,0.0433,0.0289,0.0612
YOL096C,COQ3,0.8006,30,0.0185,0.0760,0.0234,0.0892,0.0594,0.0558
YOL097C,WRS1,7.7493,15,0.3581,0.2227,0.4056,0.2612,0.1741,0.2260
YOL097W-A,,0.8646,,,,,,,
YOL098C,,4.3870,50,0.0608,,0.0877,,,
YOL099C,,,26,,,,,,
YOL100W,PKH2,,41,,0.1161,,0.1362,0.0908,0.2946
YOL101C,IZH4,0.5764,86,0.0046,0.0517,0.0082,0.0606,0.0404,0.0379
YOL102C,TPT1,0.9607,22,0.0303,0.0369,0.0362,0.0433,0.0288,0.0200
YOL103W,ITR2,2.3376,12,0.1350,0.0990,0.1494,0.1162,0.0775,0.1417
YOL104C,NDJ1,0.3202,42,0.0053,0.1726,0.0072,0.2025,0.1350,0.1428
YOL105C,WSC3,0.4483,28,0.0111,0.1143,0.0138,0.1341,0.0894,0.1492
YOL106W,,,44,,,,,,
YOL107W,,,,,0.0873,,0.1024,0.0683,0.0702
YOL108C,INO4,0.8646,22,0.0272,0.1538,0.0325,0.1804,0.1203,0.0547
YOL109W,ZEO1,115.0552,23,3.4674,3.3853,4.1732,3.9715,2.6476,0.9028
YOL110W,SHR5,1.1528,52,0.0154,0.0957,0.0224,0.1123,0.0749,0.0534
YOL111C,MDY2,,17,,0.1204,,0.1412,0.0942,0.0601
YOL112W,MSB4,,17,,0.0900,,0.1056,0.0704,0.1040
YOL113W,SKM1,1.0247,19,0.0374,0.0660,0.0437,0.0775,0.0517,0.1016
YOL114C,,,24,,0.0773,,0.0907,0.0605,0.0368
YOL115W,PAP2,,8,,0.1261,,0.1479,0.0986,0.1730
YOL116W,MSN1,1.4410,80,0.0125,0.1485,0.0213,0.1742,0.1161,0.1333
YOL117W,RRI2,0.3522,,,0.0309,,0.0362,0.0241,0.0468
YOL118C,,0.0320,39,0.0006,,0.0008,,,
YOL119C,MCH4,0.4483,,,0.0637,,0.0747,0.0498,0.0749
YOL120C,RPL18A,,22,,0.9517,,1.1165,0.7443,0.7495
YOL121C,RPS19A,,20,,,,,,
YOL122C,SMF1,2.0814,16,0.0902,0.0496,0.1029,0.0582,0.0388,0.0670
YOL123W,HRP1,4.8033,24,0.1387,0.3738,0.1682,0.4385,0.2923,0.4689
YOL124C,TRM11,3.5224,9,0.2713,0.0856,0.2929,0.1004,0.0670,0.0871
YOL125W,,1.0887,7,0.1078,0.1189,0.1145,0.1395,0.0930,0.1330
YOL126C,MDH2,3.5865,6,0.4143,0.7436,0.4363,0.8723,0.5815,0.6589
YOL127W,RPL25,217.4617,,,0.8203,,0.9623,0.6416,0.5402
YOL128C,YGK3,0.4483,,,0.0947,,0.1111,0.0741,0.0835
YOL129W,VPS68,8.3578,30,0.1931,0.0900,0.2444,0.1055,0.0704,0.0390
YOL130W,ALR1,2.1455,7,0.2124,0.2328,0.2256,0.2731,0.1821,0.4696
YOL131W,,0.0640,39,0.0011,,0.0015,,,
YOL132W,GAS4,0.3202,,,,,,,
YOL133W,HRT1,0.8326,32,0.0180,0.1190,0.0231,0.1396,0.0930,0.0340
YOL134C,,0.0640,115,0.0004,0.0873,0.0008,0.1024,0.0683,0.0266
YOL135C,MED7,0.8966,,,0.0954,,0.1119,0.0746,0.0498
YOL136C,PFK27,0.2562,,,0.1611,,0.1890,0.1260,0.1503
YOL137W,BSC6,0.5124,,,0.0509,,0.0597,0.0398,0.0594
YOL138C,,0.2562,,,0.1136,,0.1332,0.0888,0.3575
YOL139C,CDC33,10.9515,12,0.6326,0.2403,0.6998,0.2819,0.1880,0.1205
YOL140W,ARG8,0.2562,11,0.0161,,0.0177,,,
YOL141W,PPM2,0.0640,,,0.0635,,0.0745,0.0496,0.1036
YOL142W,RRP40,1.0247,11,0.0646,0.1181,0.0709,0.1386,0.0924,0.0667
YOL143C,RIB4,,22,,0.2177,,0.2555,0.1703,0.0867
YOL144W,NOP8,,,,0.1086,,0.1274,0.0850,0.1235
YOL145C,CTR9,3.8426,23,0.1158,0.1868,0.1394,0.2192,0.1461,0.4724
YOL146W,PSF3,1.5691,,,0.0752,,0.0883,0.0588,0.0344
YOL147C,PEX11,1.4730,,,0.0506,,0.0594,0.0396,0.0281
YOL148C,SPT20,1.8573,10,0.1287,0.0981,0.1401,0.1151,0.0767,0.1392
YOL149W,DCP1,2.8820,,,0.1035,,0.1214,0.0810,0.0563
YOL150C,,,35,,,,,,
YOL151W,GRE2,,24,,0.1055,,0.1238,0.0825,0.0848
YOL152W,FRE7,0.5444,,,0.1264,,0.1482,0.0988,0.1840
YOL154W,ZPS1,0.7045,45,0.0109,0.0627,0.0152,0.0735,0.0490,0.0367
YOL155C,,,10,,0.9306,,1.0917,0.7278,2.1129
YOL155W-A,,,,,,,,,
YOL156W,HXT11,,25,,0.0183,,0.0215,0.0143,0.0244
YOL157C,,,25,,0.0528,,0.0620,0.0413,0.0731
YOL158C,ENB1,6.9168,16,0.2996,,0.3421,,,
YOL159C,,2.3056,,,0.0708,,0.0830,0.0553,0.0285
YOL159C-A,,0.8006,,,,,,,
YOL160W,,0.2562,50,0.0036,,0.0051,,,
YOL161C,,,14,,0.0211,,0.0248,0.0165,0.0060
YOL162W,,0.0640,218,0.0002,,0.0006,,,
YOL163W,,,,,,,,,
YOL164W,BDS1,0.8006,,,0.1157,,0.1357,0.0905,0.1755
YOL164W-A,,0.5764,,,,,,,
YOL165C,AAD15,,20,,0.0755,,0.0886,0.0591,0.0255
YOL166C,,,34,,,,,,
YOL166W-A,,,,,,,,,
YOR001W,RRP6,2.0814,8,0.1803,0.1159,0.1931,0.1359,0.0906,0.1995
YOR002W,ALG6,4.8033,14,0.2378,0.0747,0.2673,0.0876,0.0584,0.0954
YOR003W,YSP3,0.5444,33,0.0114,0.0301,0.0148,0.0353,0.0235,0.0338
YOR004W,UTP23,0.7045,,,,,,,
YOR005C,DNL4,0.3843,,,0.0392,,0.0460,0.0306,0.0868
YOR006C,,2.4977,16,0.1082,0.2336,0.1235,0.2740,0.1827,0.1719
YOR007C,SGT2,31.1895,,,1.1012,,1.2919,0.8613,0.8957
YOR008C,SLG1,1.2809,17,0.0522,0.1908,0.0601,0.2238,0.1492,0.1695
YOR008C-A,,0.0640,42,0.0011,,0.0014,,,
YOR008W-B,,0.0640,,,,,,,
YOR009W,TIR4,0.2242,,,0.0141,,0.0165,0.0110,0.0161
YOR010C,TIR2,0.3843,52,0.0051,,0.0075,,,
YOR011W,AUS1,0.0640,31,0.0014,0.0222,0.0018,0.0261,0.0174,0.0727
YOR011W-A,,0.1281,,,,,,,
YOR012W,,,,,0.1114,,0.1307,0.0871,0.0360
YOR013W,,0.4803,,,,,,,
YOR014W,RTS1,,20,,0.0796,,0.0933,0.0622,0.1414
YOR015W,,11.1117,68,0.1133,0.0850,0.1814,0.0997,0.0665,0.0239
YOR016C,ERP4,0.8966,,,0.0358,,0.0420,0.0280,0.0175
YOR017W,PET127,1.1528,,,0.0630,,0.0739,0.0493,0.1184
YOR018W,ROD1,1.0567,94,0.0078,,0.0143,,,
YOR019W,,0.7365,55,0.0093,0.0576,0.0138,0.0676,0.0450,0.0987
YOR020C,HSP10,22.4795,48,0.3246,0.7130,0.4625,0.8364,0.5576,0.1784
YOR020W-A,,3.2662,,,,,,,
YOR021C,,4.0028,12,0.2312,0.1191,0.2558,0.1397,0.0931,0.0597
YOR022C,,0.4483,30,0.0104,0.0462,0.0131,0.0542,0.0361,0.0775
YOR023C,AHC1,0.8966,12,0.0518,0.1298,0.0573,0.1523,0.1015,0.1726
YOR024W,,,,,,,,,
YOR025W,HST3,0.2882,8,0.0250,0.1332,0.0267,0.1563,0.1042,0.1399
YOR026W,BUB3,2.2415,10,0.1554,0.2548,0.1691,0.2989,0.1993,0.2042
YOR027W,STI1,6.3724,,,0.8362,,0.9810,0.6540,1.1569
YOR028C,CIN5,0.1921,,,0.0380,,0.0445,0.0297,0.0263
YOR029W,,0.0640,44,0.0010,,0.0014,,,
YOR030W,DFG16,0.5444,,,0.0715,,0.0839,0.0559,0.1039
YOR031W,CRS5,0.9927,29,0.0237,,0.0298,,,
YOR032C,HMS1,0.3202,,,0.0351,,0.0412,0.0274,0.0358
YOR032W-A,,,,,,,,,
YOR033C,EXO1,,18,,0.0950,,0.1114,0.0743,0.1566
YOR034C,AKR2,0.2562,23,0.0077,0.0641,0.0093,0.0752,0.0501,0.1128
YOR034C-A,,0.2242,,,,,,,
YOR035C,SHE4,,20,,0.0759,,0.0891,0.0594,0.1407
YOR036W,PEP12,7.7814,,,0.1469,,0.1723,0.1149,0.0995
YOR037W,CYC2,1.5691,,,0.1096,,0.1285,0.0857,0.0943
YOR038C,HIR2,1.4090,28,0.0349,0.0682,0.0435,0.0800,0.0533,0.1400
YOR039W,CKB2,1.6972,6,0.1961,0.1246,0.2065,0.1462,0.0974,0.0756
YOR040W,GLO4,3.3303,53,0.0436,0.4624,0.0640,0.5425,0.3617,0.3100
YOR041C,,,22,,0.1013,,0.1188,0.0792,0.0341
YOR042W,CUE5,3.4584,23,0.1042,0.2126,0.1254,0.2494,0.1662,0.2053
YOR043W,WHI2,1.3449,13,0.0717,0.2482,0.0800,0.2912,0.1942,0.2835
YOR044W,,0.5764,32,0.0125,0.0875,0.0160,0.1027,0.0685,0.0324
YOR045W,TOM6,19.8537,8,1.7202,,1.8420,,,
YOR046C,DBP5,7.9735,16,0.3454,0.1659,0.3943,0.1946,0.1297,0.1879
YOR047C,STD1,1.3129,12,0.0758,0.1211,0.0839,0.1421,0.0948,0.1264
YOR048C,RAT1,1.2809,11,0.0807,0.1598,0.0886,0.1874,0.1250,0.3774
YOR049C,RSB1,0.6725,22,0.0212,0.1144,0.0253,0.1342,0.0895,0.0952
YOR050C,,0.0640,48,0.0009,0.1543,0.0013,0.1811,0.1207,0.0419
YOR051C,,1.9533,24,0.0564,0.1303,0.0684,0.1529,0.1019,0.1262
YOR052C,,2.1775,88,0.0172,0.6958,0.0305,0.8163,0.5442,0.2460
YOR053W,,,29,,,,,,
YOR054C,VHS3,,23,,0.0941,,0.1104,0.0736,0.1490
YOR055W,,,33,,0.0923,,0.1083,0.0722,0.0313
YOR056C,NOB1,3.0101,6,0.3477,0.2039,0.3662,0.2392,0.1595,0.2199
YOR057W,SGT1,2.6899,31,0.0601,0.0719,0.0766,0.0844,0.0562,0.0668
YOR058C,ASE1,0.3522,10,0.0244,0.0827,0.0266,0.0970,0.0647,0.1719
YOR059C,,1.8253,33,0.0383,0.1658,0.0495,0.1945,0.1297,0.1753
YOR060C,,0.7685,32,0.0166,,0.0214,,,
YOR061W,CKA2,0.7045,14,0.0349,0.2174,0.0392,0.2550,0.1700,0.1732
YOR062C,,3.7146,37,0.0696,0.0657,0.0924,0.0770,0.0513,0.0414
YOR063W,RPL3,120.5310,8,10.4432,,11.1826,,,
YOR064C,YNG1,1.1848,20,0.0411,0.0907,0.0483,0.1065,0.0710,0.0468
YOR065W,CYT1,1.6011,21,0.0528,0.0863,0.0627,0.1012,0.0675,0.0627
YOR066W,,0.6404,14,0.0317,0.1184,0.0356,0.1389,0.0926,0.1749
YOR067C,ALG8,3.4904,11,0.2199,0.0391,0.2414,0.0459,0.0306,0.0530
YOR068C,VAM10,,23,,0.0524,,0.0614,0.0410,0.0141
YOR069W,VPS5,0.3843,,,0.1251,,0.1468,0.0979,0.1984
YOR070C,GYP1,0.7045,15,0.0326,,0.0369,,,
YOR071C,,0.1601,,,0.0537,,0.0630,0.0420,0.0754
YOR072W,,,,,,,,,
YOR072W-A,,0.0640,,,,,,,
YOR072W-B,,0.1281,,,,,,,
YOR073W,SGO1,0.8006,,,0.0770,,0.0904,0.0602,0.1068
YOR073W-A,,,,,,,,,
YOR074C,CDC21,3.5224,14,0.1744,0.0278,0.1960,0.0326,0.0218,0.0199
YOR075W,UFE1,2.7219,,,0.1423,,0.1669,0.1113,0.1157
YOR076C,SKI7,0.5764,17,0.0235,0.0338,0.0270,0.0396,0.0264,0.0593
YOR077W,RTS2,0.4483,,,0.0715,,0.0838,0.0559,0.0390
YOR078W,BUD21,5.0595,6,0.5845,0.3952,0.6155,0.4637,0.3091,0.1991
YOR079C,ATX2,1.5050,16,0.0652,0.0591,0.0744,0.0693,0.0462,0.0435
YOR080W,DIA2,0.6725,10,0.0466,0.0450,0.0507,0.0528,0.0352,0.0788
YOR081C,TGL5,1.6011,15,0.0740,,0.0838,,,
YOR082C,,0.1281,,,,,,,
YOR083W,WHI5,0.0640,24,0.0018,0.2625,0.0022,0.3080,0.2053,0.1821
YOR084W,,0.5764,27,0.0148,0.1535,0.0183,0.1801,0.1201,0.1396
YOR085W,OST3,2.8500,19,0.1040,0.1324,0.1215,0.1553,0.1036,0.1089
YOR086C,TCB1,2.0174,20,0.0699,0.0806,0.0823,0.0945,0.0630,0.2244
YOR087W,YVC1,1.0887,21,0.0359,0.0819,0.0426,0.0961,0.0641,0.1299
YOR089C,VPS21,6.9168,17,0.2820,0.2938,0.3244,0.3446,0.2297,0.1452
YOR090C,PTC5,1.6972,22,0.0535,0.0821,0.0639,0.0963,0.0642,0.1103
YOR091W,TMA46,2.0494,9,0.1578,0.3017,0.1704,0.3539,0.2360,0.2447
YOR092W,ECM3,1.4410,17,0.0588,0.0967,0.0676,0.1134,0.0756,0.1392
YOR093C,,1.1528,,,,,,,
YOR094W,ARF3,2.8820,14,0.1427,,0.1604,,,
YOR095C,RKI1,3.1382,21,0.1036,0.1757,0.1228,0.2061,0.1374,0.1066
YOR096W,RPS7A,91.8713,39,1.6328,0.5157,2.1964,0.6049,0.4033,0.3924
YOR097C,,2.5618,21,0.0846,,0.1003,,,
YOR098C,NUP1,0.9927,11,0.0626,0.2492,0.0686,0.2923,0.1949,0.6295
YOR099W,KTR1,3.0421,30,0.0703,0.1863,0.0889,0.2185,0.1457,0.1721
YOR100C,CRC1,0.1921,19,0.0070,0.0457,0.0082,0.0536,0.0357,0.0351
YOR101W,RAS1,0.8646,18,0.0333,0.1841,0.0386,0.2159,0.1440,0.1337
YOR102W,,,22,,,,,,
YOR103C,OST2,,20,,0.0769,,0.0903,0.0602,0.0236
YOR104W,PIN2,,15,,0.0623,,0.0731,0.0487,0.0413
YOR105W,,,14,,,,,,
YOR106W,VAM3,2.6258,,,0.1066,,0.1251,0.0834,0.0710
YOR107W,RGS2,0.8006,,,0.1266,,0.1485,0.0990,0.0920
YOR108C-A,,,,,,,,,
YOR108W,LEU9,,16,,0.1517,,0.1780,0.1187,0.2153
YOR109W,INP53,1.7932,25,0.0497,0.1179,0.0607,0.1383,0.0922,0.3063
YOR110W,TFC7,1.3769,,,0.0408,,0.0479,0.0319,0.0417
YOR111W,,1.3769,58,0.0165,,0.0249,,,
YOR112W,,0.6084,20,0.0211,0.0749,0.0248,0.0878,0.0586,0.1338
YOR113W,AZF1,0.4483,19,0.0164,,0.0191,,,
YOR114W,,1.1528,19,0.0421,,0.0491,,,
YOR115C,TRS33,2.1135,,,0.0580,,0.0681,0.0454,0.0366
YOR116C,RPO31,1.0887,,,0.1466,,0.1720,0.1147,0.5026
YOR117W,RPT5,4.9954,9,0.3847,0.1779,0.4154,0.2087,0.1391,0.1814
YOR118W,,0.8646,18,0.0333,0.1010,0.0386,0.1185,0.0790,0.1345
YOR119C,RIO1,0.9286,31,0.0208,0.1272,0.0265,0.1492,0.0995,0.1447
YOR120W,GCY1,,106,,0.0515,,0.0604,0.0403,0.0378
YOR121C,,,62,,,,,,
YOR122C,PFY1,62.9233,24,1.8173,0.3453,2.2033,0.4050,0.2700,0.1590
YOR123C,LEO1,1.4730,13,0.0785,0.2274,0.0876,0.2667,0.1778,0.2479
YOR124C,UBP2,3.3303,53,0.0436,0.0885,0.0640,0.1039,0.0692,0.2644
YOR125C,CAT5,1.3449,23,0.0405,0.0750,0.0488,0.0879,0.0586,0.0411
YOR126C,IAH1,1.3129,21,0.0433,0.0621,0.0514,0.0729,0.0486,0.0348
YOR127W,RGA1,1.3129,16,0.0569,0.1091,0.0649,0.1280,0.0853,0.2580
YOR128C,ADE2,17.2279,30,0.3980,0.0992,0.5037,0.1163,0.0776,0.1330
YOR129C,,0.3522,,,0.0347,,0.0408,0.0272,0.0729
YOR130C,ORT1,3.3623,27,0.0863,0.0397,0.1069,0.0466,0.0311,0.0273
YOR131C,,2.1455,,,0.0694,,0.0814,0.0543,0.0356
YOR132W,VPS17,2.5297,35,0.0501,0.1431,0.0656,0.1679,0.1119,0.1852
YOR133W,EFT1,,43,,0.3086,,0.3620,0.2414,0.6102
YOR134W,BAG7,0.0640,59,0.0008,,0.0011,,,
YOR135C,,,27,,0.9857,,1.1564,0.7709,0.2629
YOR136W,IDH2,16.9076,21,0.5581,0.9107,0.6618,1.0684,0.7123,0.7899
YOR137C,SIA1,0.8966,45,0.0138,0.0530,0.0193,0.0621,0.0414,0.0774
YOR138C,RUP1,1.9213,23,0.0579,,0.0697,,,
YOR139C,,,,,0.2297,,0.2695,0.1796,0.0704
YOR140W,SFL1,0.2242,,,0.1478,,0.1734,0.1156,0.2659
YOR141C,ARP8,1.0887,72,0.0105,0.0785,0.0172,0.0921,0.0614,0.1624
YOR142W,LSC1,5.0915,14,0.2521,0.1996,0.2833,0.2342,0.1561,0.1544
YOR143C,THI80,1.3769,14,0.0682,0.0810,0.0766,0.0950,0.0634,0.0608
YOR144C,ELG1,0.7685,,,0.0567,,0.0665,0.0443,0.1053
YOR145C,PNO1,5.5718,6,0.6437,0.1596,0.6779,0.1872,0.1248,0.1029
YOR146W,,,6,,,,,,
YOR147W,MDM32,1.5691,17,0.0640,,0.0736,,,
YOR148C,SPP2,2.0174,21,0.0666,,0.0790,,,
YOR149C,SMP3,1.2168,8,0.1054,0.0349,0.1129,0.0409,0.0273,0.0423
YOR150W,MRPL23,3.1382,26,0.0837,,0.1029,,,
YOR151C,RPB2,5.7640,45,0.0888,0.1996,0.1241,0.2342,0.1561,0.5735
YOR152C,,0.7365,45,0.0113,0.0281,0.0159,0.0329,0.0220,0.0169
YOR153W,PDR5,7.6853,32,0.1665,0.3692,0.2136,0.4332,0.2888,1.3096
YOR154W,,0.3522,,,0.0740,,0.0869,0.0579,0.1021
YOR155C,ISN1,2.0494,38,0.0374,0.0706,0.0500,0.0829,0.0552,0.0747
YOR156C,NFI1,0.2562,15,0.0118,0.0898,0.0134,0.1054,0.0703,0.1532
YOR157C,PUP1,2.2095,15,0.1021,0.2095,0.1157,0.2457,0.1638,0.1286
YOR158W,PET123,7.2690,18,0.2799,0.1069,0.3245,0.1254,0.0836,0.0799
YOR159C,SME1,1.6331,21,0.0539,,0.0639,,,
YOR160W,MTR10,1.7612,52,0.0235,0.0780,0.0343,0.0915,0.0610,0.1780
YOR161C,PNS1,0.5764,73,0.0055,0.0507,0.0090,0.0594,0.0396,0.0641
YOR161C-C,,0.1281,,,,,,,
YOR161W-A,,,,,,,,,
YOR161W-B,,,,,,,,,
YOR162C,YRR1,0.9607,30,0.0222,0.0632,0.0281,0.0741,0.0494,0.1202
YOR163W,DDP1,,21,,0.1141,,0.1338,0.0892,0.0505
YOR164C,,,20,,0.0425,,0.0499,0.0332,0.0312
YOR165W,SEY1,1.8573,12,0.1073,0.1336,0.1187,0.1568,0.1045,0.2435
YOR166C,,2.3056,,,0.0998,,0.1171,0.0781,0.1074
YOR167C,RPS28A,,9,,,,,,
YOR168W,GLN4,,21,,0.2746,,0.3221,0.2148,0.5217
YOR169C,,,22,,,,,,
YOR170W,,,,,,,,,
YOR171C,LCB4,,18,,0.0771,,0.0904,0.0603,0.1129
YOR172W,YRM1,0.3843,25,0.0107,0.1364,0.0130,0.1600,0.1066,0.2517
YOR173W,DCS2,1.5050,,,0.0395,,0.0463,0.0309,0.0327
YOR174W,MED4,1.2168,,,0.1122,,0.1317,0.0878,0.0750
YOR175C,,3.2022,14,0.1585,0.1326,0.1782,0.1555,0.1037,0.1927
YOR176W,HEM15,5.3797,36,0.1036,,0.1366,,,
YOR177C,MPC54,0.2562,47,0.0038,0.0254,0.0053,0.0298,0.0198,0.0277
YOR178C,GAC1,0.3202,,,0.0901,,0.1057,0.0705,0.1678
YOR179C,SYC1,1.2489,15,0.0577,0.1240,0.0654,0.1454,0.0969,0.0549
YOR180C,DCI1,0.0640,31,0.0014,,0.0018,,,
YOR181W,LAS17,2.1135,19,0.0771,0.0857,0.0901,0.1005,0.0670,0.1274
YOR182C,RPS30B,,24,,0.7513,,0.8814,0.5876,0.3537
YOR183W,FYV12,,55,,,,,,
YOR184W,SER1,8.8701,20,0.3074,0.1122,0.3618,0.1317,0.0878,0.1042
YOR185C,GSP2,2.9140,40,0.0505,,0.0684,,,
YOR186C-A,,,,,,,,,
YOR186W,,,44,,,,,,
YOR187W,TUF1,15.2425,15,0.7044,0.0961,0.7979,0.1127,0.0751,0.0987
YOR188W,MSB1,0.8646,,,0.1099,,0.1289,0.0859,0.2933
YOR189W,IES4,1.8573,12,0.1073,,0.1187,,,
YOR190W,SPR1,0.1281,,,0.0287,,0.0336,0.0224,0.0300
YOR191W,RIS1,0.3202,17,0.0131,,0.0150,,,
YOR192C,,0.1601,48,0.0023,0.0395,0.0033,0.0464,0.0309,0.0556
YOR192C-C,,,,,,,,,
YOR193W,PEX27,0.3202,21,0.0106,0.0648,0.0125,0.0761,0.0507,0.0573
YOR194C,TOA1,1.8253,24,0.0527,0.1290,0.0639,0.1513,0.1009,0.0868
YOR195W,SLK19,1.0247,16,0.0444,0.0513,0.0507,0.0601,0.0401,0.0988
YOR196C,LIP5,2.2415,24,0.0647,0.0709,0.0785,0.0832,0.0555,0.0690
YOR197W,MCA1,10.4072,18,0.4008,0.1030,0.4646,0.1209,0.0806,0.1046
YOR198C,BFR1,3.2983,32,0.0714,0.1780,0.0917,0.2088,0.1392,0.1965
YOR199W,,,28,,,,,,
YOR200W,,,25,,0.1217,,0.1428,0.0952,0.0379
YOR201C,,,8,,0.0536,,0.0629,0.0419,0.0519
YOR202W,HIS3,,23,,0.1770,,0.2076,0.1384,0.0916
YOR203W,,,29,,,,,,
YOR204W,DED1,2.7859,15,0.1287,1.5050,0.1458,1.7655,1.1770,2.1351
YOR205C,,0.9927,20,0.0344,0.0986,0.0405,0.1157,0.0771,0.1288
YOR206W,NOC2,4.7072,8,0.4079,0.1647,0.4367,0.1933,0.1288,0.2747
YOR207C,RET1,2.5618,19,0.0935,0.1041,0.1092,0.1222,0.0814,0.2809
